Epoch 0, Test Loss: 0.775190
Epoch 100, Test Loss: 0.180488
Epoch 200, Test Loss: 0.138876
Epoch 300, Test Loss: 0.134149
Epoch 400, Test Loss: 0.130989
Epoch 500, Test Loss: 0.128562
Epoch 600, Test Loss: 0.126732
Epoch 700, Test Loss: 0.125362
Epoch 800, Test Loss: 0.124347
Epoch 900, Test Loss: 0.123610
Epoch 1000, Test Loss: 0.123089
Epoch 1100, Test Loss: 0.122719
Epoch 1200, Test Loss: 0.122472
Epoch 1300, Test Loss: 0.122314
Epoch 1400, Test Loss: 0.122226
Epoch 1500, Test Loss: 0.122184
Epoch 1600, Test Loss: 0.122180
Epoch 1700, Test Loss: 0.122201
Epoch 1800, Test Loss: 0.122233
Epoch 1900, Test Loss: 0.122277
